PID,RID,Quantity
129,128,4 g
314,129,130 g
259,129,100 g
129,129,5 g
320,129,10 ml
112,130,120 g
259,130,100 g
223,130,6 g
320,130,10 ml
309,131,150 g
191,131,90 g
240,131,90 g
320,131,10 ml
310,132,140 g
9,132,220 g
193,132,90 g
320,132,10 ml
86,133,110 g
207,133,100 g
227,133,60 g
320,133,8 ml
84,134,120 g
262,134,100 g
202,134,8 g
320,134,10 ml
309,135,150 g
228,135,35 g
259,135,100 g
198,135,20 g
320,135,10 ml
310,136,140 g
201,136,110 g
228,136,35 g
320,136,10 ml
311,137,140 g
249,137,150 g
227,137,70 g
320,137,10 ml
312,138,140 g
204,138,120 g
247,138,80 g
320,138,10 ml
314,139,130 g
84,139,110 g
262,139,90 g
320,139,10 ml
112,140,120 g
84,140,110 g
223,140,6 g
320,140,10 ml
319,141,140 g
214,141,100 g
81,141,170 g
320,141,10 ml
309,142,150 g
81,142,180 g
129,142,5 g
320,142,10 ml
307,143,90 g
309,143,140 g
227,143,60 g
191,143,80 g
262,143,80 g
320,143,10 ml
17,144,90 g
310,144,140 g
227,144,60 g
191,144,80 g
262,144,80 g
320,144,10 ml
86,145,110 g
312,145,140 g
227,145,60 g
191,145,90 g
320,145,10 ml
62,146,120 g
309,146,150 g
227,146,60 g
262,146,90 g
320,146,10 ml
51,147,120 g
309,147,150 g
191,147,90 g
320,147,10 ml
51,148,120 g
310,148,140 g
227,148,60 g
320,148,10 ml
9,149,220 g
314,149,140 g
262,149,90 g
320,149,10 ml
9,150,220 g
319,150,140 g
262,150,90 g
320,150,10 ml
9,151,220 g
316,151,150 g
262,151,90 g
320,151,10 ml
309,152,140 g
84,152,90 g
86,152,80 g
262,152,80 g
320,152,10 ml
310,153,140 g
79,153,110 g
227,153,60 g
262,153,80 g
320,153,10 ml
312,154,140 g
84,154,110 g
227,154,60 g
262,154,80 g
320,154,10 ml
311,155,140 g
191,155,80 g
204,155,90 g
262,155,80 g
320,155,10 ml
309,156,150 g
247,156,90 g
228,156,35 g
320,156,10 ml
310,157,140 g
207,157,110 g
179,157,3 g
320,157,10 ml
319,158,150 g
262,158,100 g
179,158,3 g
320,158,10 ml
314,159,140 g
262,159,100 g
179,159,3 g
320,159,10 ml
317,160,150 g
198,160,20 g
228,160,35 g
320,160,8 ml
316,161,150 g
247,161,90 g
179,161,3 g
320,161,8 ml
309,162,150 g
195,162,120 g
227,162,60 g
320,162,10 ml
310,163,140 g
188,163,120 g
179,163,3 g
320,163,10 ml
312,164,140 g
204,164,120 g
227,164,60 g
320,164,10 ml
311,165,140 g
191,165,90 g
240,165,90 g
320,165,10 ml
309,166,150 g
86,166,100 g
207,166,90 g
320,166,10 ml
310,167,140 g
84,167,110 g
262,167,90 g
320,167,10 ml
319,168,150 g
84,168,100 g
129,168,4 g
320,168,10 ml
314,169,140 g
81,169,170 g
202,169,8 g
320,169,10 ml
112,170,120 g
9,170,220 g
191,170,80 g
204,170,90 g
320,170,10 ml
309,171,150 g
214,171,100 g
81,171,170 g
320,171,10 ml
310,172,140 g
193,172,90 g
247,172,80 g
320,172,10 ml
312,173,140 g
228,173,35 g
262,173,90 g
320,173,10 ml
317,174,150 g
207,174,100 g
262,174,90 g
320,174,8 ml
316,175,150 g
204,175,120 g
228,175,35 g
320,175,8 ml
262,176,140 g
227,176,60 g
247,176,80 g
129,176,5 g
320,176,8 ml
262,177,100 g
201,177,120 g
223,177,5 g
228,177,30 g
320,177,6 ml
9,178,220 g
191,178,90 g
204,178,100 g
227,178,60 g
262,178,80 g
320,178,10 ml
84,179,120 g
262,179,120 g
227,179,60 g
320,179,10 ml
86,180,110 g
191,180,80 g
262,180,100 g
227,180,60 g
320,180,8 ml
81,181,180 g
240,181,90 g
191,181,80 g
227,181,40 g
320,181,10 ml
84,182,120 g
204,182,120 g
262,182,80 g
320,182,10 ml
81,183,180 g
188,183,100 g
195,183,100 g
227,183,40 g
320,183,10 ml
86,184,110 g
207,184,100 g
262,184,80 g
320,184,10 ml
249,185,150 g
191,185,90 g
240,185,80 g
227,185,50 g
320,185,10 ml
86,186,90 g
84,186,90 g
191,186,80 g
262,186,100 g
227,186,60 g
320,186,10 ml
9,187,220 g
191,187,80 g
204,187,100 g
195,187,80 g
227,187,60 g
320,187,10 ml
184,188,150 g
262,188,120 g
227,188,60 g
320,188,10 ml
81,189,180 g
214,189,110 g
262,189,90 g
320,189,10 ml
201,190,120 g
259,190,100 g
228,190,35 g
223,190,6 g
320,190,8 ml
187,191,100 g
191,191,80 g
223,191,5 g
320,191,6 ml
79,192,120 g
262,192,120 g
227,192,60 g
320,192,10 ml
81,193,180 g
247,193,120 g
262,193,100 g
227,193,50 g
320,193,10 ml
81,194,180 g
84,194,120 g
207,194,100 g
227,194,40 g
320,194,10 ml
9,195,220 g
204,195,120 g
262,195,100 g
227,195,60 g
320,195,10 ml
9,196,200 g
84,196,150 g
191,196,100 g
204,196,100 g
162,196,15 ml
152,196,2 g
110,197,150 g
9,197,100 g
191,197,80 g
84,197,100 g
152,197,2 g
200,197,15 ml
1,198,200 g
110,198,100 g
191,198,80 g
84,198,100 g
162,198,15 ml
152,198,2 g
9,199,150 g
110,199,100 g
191,199,80 g
84,199,100 g
204,199,100 g
152,199,2 g
9,200,200 g
110,200,120 g
191,200,80 g
84,200,100 g
162,200,15 ml
152,200,2 g
110,201,150 g
191,201,80 g
9,201,100 g
146,201,50 g
162,201,15 ml
152,201,2 g
204,202,150 g
191,202,80 g
200,202,50 g
162,202,15 ml
152,202,1 g
110,203,100 g
200,203,50 g
191,203,80 g
162,203,15 ml
146,203,30 g
152,203,1 g
110,204,150 g
84,204,100 g
191,204,80 g
204,204,100 g
162,204,15 ml
152,204,2 g
110,205,200 g
162,205,15 ml
191,205,50 g
84,205,80 g
152,205,2 g
191,206,150 g
200,206,100 g
162,206,15 ml
204,206,100 g
152,206,2 g
9,207,200 g
162,207,15 ml
191,207,50 g
152,207,2 g
3,207,30 g
162,208,150 g
191,208,80 g
200,208,50 g
152,208,1 g
204,208,30 g
191,209,100 g
84,209,100 g
204,209,100 g
162,209,15 ml
152,209,2 g
9,210,200 g
110,210,120 g
191,210,80 g
84,210,100 g
162,210,15 ml
152,210,2 g
110,211,200 g
191,211,80 g
84,211,100 g
162,211,15 ml
152,211,2 g
200,211,50 g
110,212,200 g
146,212,80 g
191,212,80 g
162,212,15 ml
152,212,2 g
84,212,50 g
9,213,150 g
3,213,2
162,213,15 ml
191,213,50 g
152,213,1 g
9,214,200 g
110,214,150 g
84,214,100 g
191,214,80 g
162,214,15 ml
152,214,2 g
110,215,150 g
9,215,100 g
191,215,80 g
84,215,100 g
204,215,100 g
162,215,15 ml
