PID,Name,Price,Category,Quantity,Nutritional Unit,Nutri_Key,Calories (g),Protein (g),Total_Fat (g),Saturated_Fat (g),Carbohydrates (g),Sugar (g),Fiber (g),Sodium (mg)
14,VERMICELLE 500G البركة,90.0,Pâtes et Couscous,500 g,per 100 g,dry_pasta,371.0,13.0,1.5,0.3,74.7,2.2,3.2,5.0
15,COQUILLETTES 500G البركة,85.0,Pâtes et Couscous,500 g,per 100 g,dry_pasta,371.0,13.0,1.5,0.3,74.7,2.2,3.2,5.0
16,SPAGHETTI 500G SAFINA,90.0,Pâtes et Couscous,500 g,per 100 g,dry_pasta,371.0,13.0,1.5,0.3,74.7,2.2,3.2,5.0
17,LANGUES D’OISEAUX 500g Safina,90.0,Pâtes et Couscous,500 g,per 100 g,dry_pasta,371.0,13.0,1.5,0.3,74.7,2.2,3.2,5.0
18,VERMICELLES 500g Safina,90.0,Pâtes et Couscous,500 g,per 100 g,dry_pasta,371.0,13.0,1.5,0.3,74.7,2.2,3.2,5.0
19,COUDES 8 Safina 500g,90.0,Pâtes et Couscous,500 g,per 100 g,dry_pasta,371.0,13.0,1.5,0.3,74.7,2.2,3.2,5.0
20,COUDES 6 Safina 500g,90.0,Pâtes et Couscous,500 g,per 100 g,dry_pasta,371.0,13.0,1.5,0.3,74.7,2.2,3.2,5.0
21,COUDES 4 Safina 500g,90.0,Pâtes et Couscous,500 g,per 100 g,dry_pasta,371.0,13.0,1.5,0.3,74.7,2.2,3.2,5.0
22,COUSCOUS GROS 1KG عمور,140.0,Pâtes et Couscous,1000 g,per 100 g,couscous,376.0,12.8,0.6,0.1,77.4,0.4,2.8,10.0
23,COUSCOUS MOYEN 1KG عمور,140.0,Pâtes et Couscous,1000 g,per 100 g,couscous,376.0,12.8,0.6,0.1,77.4,0.4,2.8,10.0
24,MACCARONI 4 EXTRA 500G,95.0,Pâtes et Couscous,500 g,per 100 g,dry_pasta,371.0,13.0,1.5,0.3,74.7,2.2,3.2,5.0
25,ESCARGOT 500G EXTRA,95.0,Pâtes et Couscous,500 g,per 100 g,dry_pasta,371.0,13.0,1.5,0.3,74.7,2.2,3.2,5.0
26,PLOMBS 1 KG AMOR BENAMOR,150.0,Pâtes et Couscous,1000 g,per 100 g,dry_pasta,371.0,13.0,1.5,0.3,74.7,2.2,3.2,5.0
27,COUSCOUS MOYEN 1KG AMOR BENAMOR,180.0,Pâtes et Couscous,1000 g,per 100 g,couscous,376.0,12.8,0.6,0.1,77.4,0.4,2.8,10.0
28,COUSCOUS GROS 1KG Safina,185.0,Pâtes et Couscous,1000 g,per 100 g,couscous,376.0,12.8,0.6,0.1,77.4,0.4,2.8,10.0
29,LINGUINE 500G Sosémie,85.0,Pâtes et Couscous,500 g,per 100 g,dry_pasta,371.0,13.0,1.5,0.3,74.7,2.2,3.2,5.0
30,CHAKHCHOUKHA 1KG MAMA,250.0,Pâtes et Couscous,1000 g,per 100 g,cabbage,25.0,1.3,0.1,0.0,5.8,3.2,2.5,18.0
31,Penné aux Légumes 400G محبوبة,145.0,Pâtes et Couscous,400 g,per 100 g,dry_pasta,371.0,13.0,1.5,0.3,74.7,2.2,3.2,5.0
32,ACHKAL 500G محبوبة,55.0,Pâtes et Couscous,500 g,per 100 g,dry_pasta,371.0,13.0,1.5,0.3,74.7,2.2,3.2,5.0
33,SPAGHETTI au Blé Complet 500G محبوبة,100.0,Pâtes et Couscous,500 g,per 100 g,dry_pasta,371.0,13.0,1.5,0.3,74.7,2.2,3.2,5.0
34,NOUILLES Carrés 500G تريدة محبوبة,65.0,Pâtes et Couscous,500 g,per 100 g,dry_pasta,371.0,13.0,1.5,0.3,74.7,2.2,3.2,5.0
35,Grand ESCARGOT 500G محبوبة,65.0,Pâtes et Couscous,500 g,per 100 g,dry_pasta,371.0,13.0,1.5,0.3,74.7,2.2,3.2,5.0
36,NOUILLES 500G محبوبة,65.0,Pâtes et Couscous,500 g,per 100 g,dry_pasta,371.0,13.0,1.5,0.3,74.7,2.2,3.2,5.0
37,SPAGHETTI 500G محبوبة,65.0,Pâtes et Couscous,500 g,per 100 g,dry_pasta,371.0,13.0,1.5,0.3,74.7,2.2,3.2,5.0
38,Petit PLOMB 500G محبوبة,65.0,Pâtes et Couscous,500 g,per 100 g,dry_pasta,371.0,13.0,1.5,0.3,74.7,2.2,3.2,5.0
39,FUSILLI 500G محبوبة,65.0,Pâtes et Couscous,500 g,per 100 g,dry_pasta,371.0,13.0,1.5,0.3,74.7,2.2,3.2,5.0
40,COUSCOUS FIN SIM 1KG,135.0,Pâtes et Couscous,1000 g,per 100 g,couscous,376.0,12.8,0.6,0.1,77.4,0.4,2.8,10.0
41,COUSCOUS FIN Safina 1KG,170.0,Pâtes et Couscous,1000 g,per 100 g,couscous,376.0,12.8,0.6,0.1,77.4,0.4,2.8,10.0
42,COUSCOUS MOYEN Safina 1KG,170.0,Pâtes et Couscous,1000 g,per 100 g,couscous,376.0,12.8,0.6,0.1,77.4,0.4,2.8,10.0
43,LINGUINE MAMA 500G,95.0,Pâtes et Couscous,500 g,per 100 g,dry_pasta,371.0,13.0,1.5,0.3,74.7,2.2,3.2,5.0
44,PLOMB MAMA 500G,90.0,Pâtes et Couscous,500 g,per 100 g,dry_pasta,371.0,13.0,1.5,0.3,74.7,2.2,3.2,5.0
45,COUDE PETIT MAMA 500G,90.0,Pâtes et Couscous,500 g,per 100 g,dry_pasta,371.0,13.0,1.5,0.3,74.7,2.2,3.2,5.0
46,COUSCOUS GROS MAMA 1KG,175.0,Pâtes et Couscous,1000 g,per 100 g,couscous,376.0,12.8,0.6,0.1,77.4,0.4,2.8,10.0
47,COUSCOUS D’ORGE MAMA 900G,230.0,Pâtes et Couscous,900 g,per 100 g,couscous,376.0,12.8,0.6,0.1,77.4,0.4,2.8,10.0
48,COUSCOUS MOYEN MAMA 1KG,175.0,Pâtes et Couscous,1000 g,per 100 g,couscous,376.0,12.8,0.6,0.1,77.4,0.4,2.8,10.0
49,COUSCOUS COMPLET MAMA 900G,160.0,Pâtes et Couscous,900 g,per 100 g,couscous,376.0,12.8,0.6,0.1,77.4,0.4,2.8,10.0
50,COUDE MOYEN MAMA 500G,95.0,Pâtes et Couscous,500 g,per 100 g,dry_pasta,371.0,13.0,1.5,0.3,74.7,2.2,3.2,5.0
51,TLITLI SIM 500G,60.0,Pâtes et Couscous,500 g,per 100 g,dry_pasta,371.0,13.0,1.5,0.3,74.7,2.2,3.2,5.0
52,VERMICELLE  SIM 500G,60.0,Pâtes et Couscous,500 g,per 100 g,dry_pasta,371.0,13.0,1.5,0.3,74.7,2.2,3.2,5.0
53,SPAGHETTI  SIM 500G,60.0,Pâtes et Couscous,500 g,per 100 g,dry_pasta,371.0,13.0,1.5,0.3,74.7,2.2,3.2,5.0
54,COUSCOUS MOYEN 1KG SIM,135.0,Pâtes et Couscous,1000 g,per 100 g,couscous,376.0,12.8,0.6,0.1,77.4,0.4,2.8,10.0
55,COUDE GARRIDO CURVE LISCE 3,115.0,Pâtes et Couscous,500 g,per 100 g,dry_pasta,371.0,13.0,1.5,0.3,74.7,2.2,3.2,5.0
56,FARFALLE EXTRA 500G,155.0,Pâtes et Couscous,500 g,per 100 g,dry_pasta,371.0,13.0,1.5,0.3,74.7,2.2,3.2,5.0
57,INTEGRALE EXTRA 500G,95.0,Pâtes et Couscous,500 g,per 100 g,dry_pasta,371.0,13.0,1.5,0.3,74.7,2.2,3.2,5.0
58,FUSILE AU BLE COMPLET 500G INTEGRALE EXTRA,95.0,Pâtes et Couscous,500 g,per 100 g,dry_pasta,371.0,13.0,1.5,0.3,74.7,2.2,3.2,5.0
59,COUSCOUS MOYEN EXTRA 500G,95.0,Pâtes et Couscous,500 g,per 100 g,couscous,376.0,12.8,0.6,0.1,77.4,0.4,2.8,10.0
60,COUSCOUS FINE EXTRA 1KG,185.0,Pâtes et Couscous,1000 g,per 100 g,couscous,376.0,12.8,0.6,0.1,77.4,0.4,2.8,10.0
61,COUDE N 5 500G EXTRA,95.0,Pâtes et Couscous,500 g,per 100 g,dry_pasta,371.0,13.0,1.5,0.3,74.7,2.2,3.2,5.0
62,TRIDA EXTRA 500G,95.0,Pâtes et Couscous,500 g,per 100 g,dry_pasta,371.0,13.0,1.5,0.3,74.7,2.2,3.2,5.0
63,TAGLIATELLE 500G EXTRA,90.0,Pâtes et Couscous,500 g,per 100 g,dry_pasta,371.0,13.0,1.5,0.3,74.7,2.2,3.2,5.0
64,PLOMB EXTRA 500G,95.0,Pâtes et Couscous,500 g,per 100 g,dry_pasta,371.0,13.0,1.5,0.3,74.7,2.2,3.2,5.0
65,MACARONI 4 EXTRA 500G,95.0,Pâtes et Couscous,500 g,per 100 g,dry_pasta,371.0,13.0,1.5,0.3,74.7,2.2,3.2,5.0
66,CHEVEUX DANGE EXTRA 500G,95.0,Pâtes et Couscous,500 g,per 100 g,dry_pasta,371.0,13.0,1.5,0.3,74.7,2.2,3.2,5.0
67,COUDE6 EXTRA 500G,95.0,Pâtes et Couscous,500 g,per 100 g,dry_pasta,371.0,13.0,1.5,0.3,74.7,2.2,3.2,5.0
68,COUDE3 EXTRA 500G,95.0,Pâtes et Couscous,500 g,per 100 g,dry_pasta,371.0,13.0,1.5,0.3,74.7,2.2,3.2,5.0
69,COUSCOUS FIN MAMA 1KG,175.0,Pâtes et Couscous,1000 g,per 100 g,couscous,376.0,12.8,0.6,0.1,77.4,0.4,2.8,10.0
70,Fromage Fondu Walid Sans Gluten,605.0,Produits Laitiers,700 g,per 100 g,processed_cheese,280.0,12.0,23.0,15.0,6.0,6.0,0.0,1000.0
71,lait candia silhouette,130.0,Produits Laitiers,1000 ml,per 100 ml,skim_milk,35.0,3.4,0.1,0.1,5.0,5.0,0.0,44.0
72,MARGARINE MANI 500G,180.0,Produits Laitiers,500 g,per 100 g,margarine,717.0,0.1,81.0,15.0,0.6,0.0,0.0,700.0
73,MARGARINE FLEURIAL 250G CEVITAL,95.0,Produits Laitiers,250 g,per 100 g,margarine,717.0,0.1,81.0,15.0,0.6,0.0,0.0,700.0
74,MARGARINE FLEURIAL 250G VEGETALIS,115.0,Produits Laitiers,250 g,per 100 g,margarine,717.0,0.1,81.0,15.0,0.6,0.0,0.0,700.0
75,LAIT CANDIA 1LITRE,125.0,Produits Laitiers,1000 ml,per 100 ml,whole_milk,65.0,3.3,3.6,2.3,4.7,4.7,0.0,43.0
76,CANDY CHOCO 200ML,50.0,Produits Laitiers,200 ml,per 100 ml,chocolate_milk,80.0,3.0,2.0,1.3,11.0,10.0,0.5,60.0
77,CANDY CHOCO 1L,190.0,Produits Laitiers,1000 ml,per 100 ml,chocolate_milk,80.0,3.0,2.0,1.3,11.0,10.0,0.5,60.0
78,LAIT CANDIA 1LITRE ENTIER,150.0,Produits Laitiers,1000 ml,per 100 ml,whole_milk,65.0,3.3,3.6,2.3,4.7,4.7,0.0,43.0
79,HARICOT ROUGE 1KG Garrido,500.0,Légumes Secs,1000 g,per 100 g,kidney_beans,337.0,22.5,1.3,0.2,62.0,3.0,15.2,12.0
80,Pois Cassés 1kg Garrido,330.0,Légumes Secs,1000 g,per 100 g,split_peas,341.0,24.5,1.2,0.2,60.0,2.0,25.0,15.0
81,RIZ étuvé 1KG La Belle,155.0,Légumes Secs,1000 g,per 100 g,rice,360.0,6.7,0.7,0.2,80.0,0.1,1.3,5.0
82,LENTILLES Borjot 1Kg,250.0,Légumes Secs,1000 g,per 100 g,lentils,353.0,24.6,1.1,0.2,63.4,2.0,10.7,6.0
83,LENTILLES  BORJOT 500G,135.0,Légumes Secs,500 g,per 100 g,lentils,353.0,24.6,1.1,0.2,63.4,2.0,10.7,6.0
84,POIS CHICHE BORJOT 500G,215.0,Légumes Secs,500 g,per 100 g,chickpeas,378.0,20.5,6.0,0.6,63.0,10.7,12.2,24.0
85,HARICOTS BORJOT 500G,185.0,Légumes Secs,500 g,per 100 g,kidney_beans,337.0,22.5,1.3,0.2,62.0,3.0,15.2,12.0
86,LENTILLE GARRIDO 1KG,385.0,Légumes Secs,1000 g,per 100 g,lentils,353.0,24.6,1.1,0.2,63.4,2.0,10.7,6.0
87,LENTILLES 1KG GARRIDO,385.0,Légumes Secs,1000 g,per 100 g,lentils,353.0,24.6,1.1,0.2,63.4,2.0,10.7,6.0
88,LENTILLE ROUGE GARRIDO 1KG,350.0,Légumes Secs,1000 g,per 100 g,lentils,353.0,24.6,1.1,0.2,63.4,2.0,10.7,6.0
89,HARICOTS ROUGE 500G GARRIDO,255.0,Légumes Secs,500 g,per 100 g,kidney_beans,337.0,22.5,1.3,0.2,62.0,3.0,15.2,12.0
90,HARICOT GARRIDO 500G,225.0,Légumes Secs,500 g,per 100 g,kidney_beans,337.0,22.5,1.3,0.2,62.0,3.0,15.2,12.0
91,POIS CHICHE GARRIDO 500G,250.0,Légumes Secs,500 g,per 100 g,chickpeas,378.0,20.5,6.0,0.6,63.0,10.7,12.2,24.0
92,Substitut de Sucre en Poudre MagiLight,120.0,Cafés et Sucres,50 g,per 100 g,sugar,400.0,0.0,0.0,0.0,99.8,99.8,0.0,1.0
93,Granior Chicorée Café Solubles,535.0,Cafés et Sucres,200 g,per 100 g,coffee,1.0,0.1,0.0,0.0,0.0,0.0,0.0,2.0
94,Café moulu Famico Exclusive,250.0,Cafés et Sucres,250 g,per 100 g,coffee,1.0,0.1,0.0,0.0,0.0,0.0,0.0,2.0
95,Café Boukhari Mélange arabica et robusta,250.0,Cafés et Sucres,250 g,per 100 g,coffee,1.0,0.1,0.0,0.0,0.0,0.0,0.0,2.0
96,Chicorée mix soluble de Grandos,680.0,Cafés et Sucres,100 g,per 100 g,other,108.14285714285714,0.09285714285714286,0.0,0.0,27.27142857142857,27.25,0.014285714285714287,1.9285714285714286
97,Boisson instantanée Chicorée de City One,210.0,Cafés et Sucres,70 g,per 100 g,other,108.14285714285714,0.09285714285714286,0.0,0.0,27.27142857142857,27.25,0.014285714285714287,1.9285714285714286
98,Primo Café 250 G,250.0,Cafés et Sucres,250 g,per 100 g,coffee,1.0,0.1,0.0,0.0,0.0,0.0,0.0,2.0
99,Café D’Or Moulu 250 Gr,250.0,Cafés et Sucres,250 g,per 100 g,coffee,1.0,0.1,0.0,0.0,0.0,0.0,0.0,2.0
100,SUCRE CEVITAL 2KG,190.0,Cafés et Sucres,2000 g,per 100 g,sugar,400.0,0.0,0.0,0.0,99.8,99.8,0.0,1.0
101,SUCRE CEVITAL 1KG,95.0,Cafés et Sucres,1000 g,per 100 g,sugar,400.0,0.0,0.0,0.0,99.8,99.8,0.0,1.0
102,CAFE OSCAR 250G TRESOR NOIR,250.0,Cafés et Sucres,250 g,per 100 g,coffee,1.0,0.1,0.0,0.0,0.0,0.0,0.0,2.0
103,CAFE MOULU CAFESTA 250G,250.0,Cafés et Sucres,250 g,per 100 g,coffee,1.0,0.1,0.0,0.0,0.0,0.0,0.0,2.0
104,CAFE BONAL 250G,250.0,Cafés et Sucres,250 g,per 100 g,coffee,1.0,0.1,0.0,0.0,0.0,0.0,0.0,2.0
105,CAFE  AROMA 250G,250.0,Cafés et Sucres,250 g,per 100 g,coffee,1.0,0.1,0.0,0.0,0.0,0.0,0.0,2.0
106,CAFE AROMA FAMILIAL 250G,250.0,Cafés et Sucres,250 g,per 100 g,coffee,1.0,0.1,0.0,0.0,0.0,0.0,0.0,2.0
107,PATE A TARTINER EL MORDJANE 700G,860.0,Conserves,700 g,per 100 g,spread,540.0,6.0,31.0,10.0,57.0,55.0,3.0,50.0
108,Tomates CAB Hello 800 g,330.0,Conserves,800 g,per 100 g,tomato_paste,82.0,4.3,0.5,0.1,18.9,11.0,4.1,50.0
109,THON MARICIANA A LA TOMATE 400G,610.0,Conserves,400 g,per 100 g,tuna_tomato,150.0,20.0,7.0,1.5,3.0,2.0,1.0,500.0
110,THON ATLANTICO 160G A LA TOMATE,235.0,Conserves,160 g,per 100 g,tuna_tomato,150.0,20.0,7.0,1.5,3.0,2.0,1.0,500.0
111,THON MARINARA 140G HUILE VEGETALE,199.0,Conserves,140 g,per 100 g,tuna_in_oil,200.0,26.0,10.0,2.0,0.0,0.0,0.0,400.0
112,THON RICAMAR 160G NATUREL,305.0,Conserves,160 g,per 100 g,tuna_natural,110.0,26.0,1.0,0.2,0.0,0.0,0.0,400.0
113,THON MARATUN A LA TOMATE 160G,255.0,Conserves,160 g,per 100 g,tuna_tomato,150.0,20.0,7.0,1.5,3.0,2.0,1.0,500.0
114,THON A L HUILE RICAMAR 160G,255.0,Conserves,160 g,per 100 g,tuna_in_oil,200.0,26.0,10.0,2.0,0.0,0.0,0.0,400.0
115,THON A LA TOMATE RICAMAR 160G,250.0,Conserves,160 g,per 100 g,tuna_tomato,150.0,20.0,7.0,1.5,3.0,2.0,1.0,500.0
116,TRIP THON RICAMAR A LA TOMATE,330.0,Conserves,195 g,per 100 g,tuna_tomato,150.0,20.0,7.0,1.5,3.0,2.0,1.0,500.0
117,THON RICAMAR TRIP NATUREL 65*3,360.0,Conserves,195 g,per 100 g,tuna_natural,110.0,26.0,1.0,0.2,0.0,0.0,0.0,400.0
118,CORNED BEEF 200 G BELLAT,380.0,Conserves,200 g,per 100 g,other,148.5142857142857,10.719999999999999,4.7,0.9800000000000001,16.602857142857143,13.057142857142857,1.854285714285714,541.4285714285714
119,TRIP THON RICAMAR A L HUILE 65G*3,330.0,Conserves,195 g,per 100 g,tuna_in_oil,200.0,26.0,10.0,2.0,0.0,0.0,0.0,400.0
120,TRIP THON MARATUN A LA TOMATE 65G,325.0,Conserves,195 g,per 100 g,tuna_tomato,150.0,20.0,7.0,1.5,3.0,2.0,1.0,500.0
121,TRIP MIETTE DE THON A L TOMATE DALITUN 65G*3,165.0,Conserves,195 g,per 100 g,tuna_tomato,150.0,20.0,7.0,1.5,3.0,2.0,1.0,500.0
122,TRIP MITTES DE THON A LA TOMATE ATLANTIC,180.0,Conserves,195 g,per 100 g,tuna_tomato,150.0,20.0,7.0,1.5,3.0,2.0,1.0,500.0
123,TRIP THON MARATUN A L HUILE,320.0,Conserves,195 g,per 100 g,tuna_in_oil,200.0,26.0,10.0,2.0,0.0,0.0,0.0,400.0
124,CONFITURE DE FRAISE SICAM 400G,165.0,Conserves,400 g,per 100 g,jam,250.0,0.5,0.2,0.0,60.0,55.0,1.0,10.0
125,CONFITURE ABRICOT SICAM 400G,140.0,Conserves,400 g,per 100 g,jam,250.0,0.5,0.2,0.0,60.0,55.0,1.0,10.0
126,CONFITURE D AGRUMES/MANDARINE SICAM 400G,120.0,Conserves,400 g,per 100 g,jam,250.0,0.5,0.2,0.0,60.0,55.0,1.0,10.0
127,CONFITURE 400G TRI STARS POMMES,125.0,Conserves,400 g,per 100 g,jam,250.0,0.5,0.2,0.0,60.0,55.0,1.0,10.0
128,CONFITURE DE POMME SICAM 400G,120.0,Conserves,400 g,per 100 g,jam,250.0,0.5,0.2,0.0,60.0,55.0,1.0,10.0
129,HARAISSA 135G CAB,85.0,Conserves,135 g,per 100 g,harissa,75.0,2.0,5.0,0.5,5.0,2.0,2.0,2000.0
130,POLPA DI TOMATO 370G SICAM,115.0,Conserves,370 g,per 100 g,other,148.5142857142857,10.719999999999999,4.7,0.9800000000000001,16.602857142857143,13.057142857142857,1.854285714285714,541.4285714285714
131,TOMATE HELLO 400G,180.0,Conserves,400 g,per 100 g,tomato_paste,82.0,4.3,0.5,0.1,18.9,11.0,4.1,50.0
132,TOMATE CONCENTREE ELHARA 400G,185.0,Conserves,400 g,per 100 g,tomato_paste,82.0,4.3,0.5,0.1,18.9,11.0,4.1,50.0
133,HROUSS GREEN GRILL 370G,165.0,Conserves,370 g,per 100 g,harissa,75.0,2.0,5.0,0.5,5.0,2.0,2.0,2000.0
134,TOMATE ZAHRA 800G,355.0,Conserves,800 g,per 100 g,tomato_paste,82.0,4.3,0.5,0.1,18.9,11.0,4.1,50.0
135,TOMATE IZDIHAR 800G,335.0,Conserves,800 g,per 100 g,tomato_paste,82.0,4.3,0.5,0.1,18.9,11.0,4.1,50.0
136,HRISSA 400G SICAM,165.0,Conserves,400 g,per 100 g,harissa,75.0,2.0,5.0,0.5,5.0,2.0,2.0,2000.0
137,TOMATE CONCENTRE ZAHRA 400G,180.0,Conserves,400 g,per 100 g,tomato_paste,82.0,4.3,0.5,0.1,18.9,11.0,4.1,50.0
138,HARISSA 760G TELLOISE,295.0,Conserves,760 g,per 100 g,harissa,75.0,2.0,5.0,0.5,5.0,2.0,2.0,2000.0
139,TOMATE CAB 800G,290.0,Conserves,800 g,per 100 g,tomato_paste,82.0,4.3,0.5,0.1,18.9,11.0,4.1,50.0
140,TOMATE FIDE 800G,320.0,Conserves,800 g,per 100 g,tomato_paste,82.0,4.3,0.5,0.1,18.9,11.0,4.1,50.0
141,HARISSA IZDIHAR 380G,180.0,Conserves,380 g,per 100 g,harissa,75.0,2.0,5.0,0.5,5.0,2.0,2.0,2000.0
142,HARISSA IZDIHAR 135G,80.0,Conserves,135 g,per 100 g,harissa,75.0,2.0,5.0,0.5,5.0,2.0,2.0,2000.0
143,TOMATE JUMBO 400G,195.0,Conserves,400 g,per 100 g,tomato_paste,82.0,4.3,0.5,0.1,18.9,11.0,4.1,50.0
144,GAZEUSE COCA 2L,160.0,Boisson,2000 ml,per 100 ml,soda,42.0,0.0,0.0,0.0,10.6,10.6,0.0,10.0
145,GAZEUSE COCA 1L,110.0,Boisson,1000 ml,per 100 ml,soda,42.0,0.0,0.0,0.0,10.6,10.6,0.0,10.0
146,GAZEUSE SLIM POMME 2L HAMOUD,130.0,Boisson,2000 ml,per 100 ml,soda,42.0,0.0,0.0,0.0,10.6,10.6,0.0,10.0
147,GAZEUSE SLIM POMME 1L HAMOUD,85.0,Boisson,1000 ml,per 100 ml,soda,42.0,0.0,0.0,0.0,10.6,10.6,0.0,10.0
148,GAZEUSE SLIM ORANGE 2L HAMOUD,135.0,Boisson,2000 ml,per 100 ml,soda,42.0,0.0,0.0,0.0,10.6,10.6,0.0,10.0
149,GAZEUSE SLIM CITRON 2L HAMOUD,130.0,Boisson,2000 ml,per 100 ml,soda,42.0,0.0,0.0,0.0,10.6,10.6,0.0,10.0
150,GAZEUSE SLIM CITRON 1L HAMOUD,85.0,Boisson,1000 ml,per 100 ml,soda,42.0,0.0,0.0,0.0,10.6,10.6,0.0,10.0
151,GAZEUSE SLIM ANANAS 2L HAMOUD,130.0,Boisson,2000 ml,per 100 ml,soda,42.0,0.0,0.0,0.0,10.6,10.6,0.0,10.0
152,GAZEUSE SELECTO 2L HAMOUD,145.0,Boisson,2000 ml,per 100 ml,soda,42.0,0.0,0.0,0.0,10.6,10.6,0.0,10.0
153,GAZEUSE SELECTO 33CL HAMOUD,45.0,Boisson,330 ml,per 100 ml,soda,42.0,0.0,0.0,0.0,10.6,10.6,0.0,10.0
154,GAZEUSE SLIM HAMOUD ORANGE 33CL,45.0,Boisson,330 ml,per 100 ml,soda,42.0,0.0,0.0,0.0,10.6,10.6,0.0,10.0
155,GAZEUSE HAMOUD BLANCHE 33CL,45.0,Boisson,330 ml,per 100 ml,soda,42.0,0.0,0.0,0.0,10.6,10.6,0.0,10.0
156,GAZEUSE BLANCHE 2L HAMOUD,140.0,Boisson,2000 ml,per 100 ml,soda,42.0,0.0,0.0,0.0,10.6,10.6,0.0,10.0
157,GAZEUSE BLANCHE 1L HAMOUD,85.0,Boisson,1000 ml,per 100 ml,soda,42.0,0.0,0.0,0.0,10.6,10.6,0.0,10.0
158,GAZEUSE SLIM ANANAS 1L HAMOUD,85.0,Boisson,1000 ml,per 100 ml,soda,42.0,0.0,0.0,0.0,10.6,10.6,0.0,10.0
159,GAZEUSE COLA 1L HAMOUD,80.0,Boisson,1000 ml,per 100 ml,soda,42.0,0.0,0.0,0.0,10.6,10.6,0.0,10.0
160,GAZEUSE COLA 2L HAMOUD,130.0,Boisson,2000 ml,per 100 ml,soda,42.0,0.0,0.0,0.0,10.6,10.6,0.0,10.0
161,GAZEUSE SLIM ORANGE 1L HAMOUD,85.0,Boisson,1000 ml,per 100 ml,soda,42.0,0.0,0.0,0.0,10.6,10.6,0.0,10.0
162,HUILE AFIA 2 LITRE,250.0,Huiles et Vinaigre,2000 ml,per 100 ml,oil,884.0,0.0,100.0,14.0,0.0,0.0,0.0,0.0
163,HUILE ELIO 1L,125.0,Huiles et Vinaigre,1000 ml,per 100 ml,oil,884.0,0.0,100.0,14.0,0.0,0.0,0.0,0.0
164,VINAIGRE SIDNA COLORE 70CL,100.0,Huiles et Vinaigre,700 ml,per 100 ml,vinegar,20.0,0.0,0.0,0.0,1.0,0.5,0.0,5.0
165,VINAIGRE SIDNA BLANC 70CL,115.0,Huiles et Vinaigre,700 ml,per 100 ml,vinegar,20.0,0.0,0.0,0.0,1.0,0.5,0.0,5.0
166,MAYONNAISE 395G FLEURIAL,275.0,Huiles et Vinaigre,395 g,per 100 g,mayonnaise,680.0,1.0,75.0,12.0,1.0,1.0,0.0,600.0
167,MAYONNAISE FLEURIAL 200G,170.0,Huiles et Vinaigre,200 g,per 100 g,mayonnaise,680.0,1.0,75.0,12.0,1.0,1.0,0.0,600.0
168,Céréales Ringosso au Chocolat,180.0,Epicerie-Sucree,200 g,per 100 g,biscuits,450.0,7.0,15.0,7.0,70.0,25.0,3.0,300.0
169,BISCUITS KOOL SUPREME 40G,70.0,Epicerie-Sucree,40 g,per 100 g,biscuits,450.0,7.0,15.0,7.0,70.0,25.0,3.0,300.0
